date,precipitation,average_wind_speed,snowfall
2020-01-01,0.0,8.6,0.0
2020-01-02,0.0,5.4,0.0
2020-01-03,0.15,3.4,0.0
2020-01-04,0.27,4.4,0.0
2020-01-05,0.0,11.3,0.0
2020-01-06,0.04,6.1,0.2
2020-01-07,0.0,5.1,0.0
2020-01-08,0.0,9.7,0.0
2020-01-09,0.0,4.4,0.0
2020-01-10,0.0,6.3,0.0
2020-01-11,0.0,5.3,0.0
2020-01-12,0.05,8.8,0.0
2020-01-13,0.0,4.5,0.0
2020-01-14,0.07,3.8,0.0
2020-01-15,0.0,5.1,0.0
2020-01-16,0.11,10.2,0.0
2020-01-17,0.0,10.7,0.0
2020-01-18,0.37,5.0,2.1
2020-01-19,0.0,9.0,0.0
2020-01-20,0.0,7.8,0.0
2020-01-21,0.0,4.2,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.85,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,6.3,0.0
2020-01-28,0.0,8.4,0.0
2020-01-29,0.0,6.8,0.0
2020-01-30,0.0,4.3,0.0
2020-01-31,0.02,3.8,0.0
2020-02-01,0.0,2.1,0.0
2020-02-02,0.07,5.0,0.0
2020-02-03,0.0,5.5,0.0
2020-02-04,0.0,3.3,0.0
2020-02-05,0.0,5.7,0.0
2020-02-06,0.51,7.0,0.0
2020-02-07,0.25,9.6,0.0
2020-02-08,0.0,7.3,0.0
2020-02-09,0.0,5.8,0.0
2020-02-10,0.37,6.2,0.0
2020-02-11,0.28,3.5,0.0
2020-02-12,0.13,5.4,0.0
2020-02-13,0.39,4.2,0.0
2020-02-14,0.0,7.3,0.0
2020-02-15,0.0,5.0,0.0
2020-02-16,0.0,5.5,0.0
2020-02-17,0.0,5.1,0.0
2020-02-18,0.0,6.2,0.0
2020-02-19,0.0,7.3,0.0
2020-02-20,0.0,5.9,0.0
2020-02-21,0.0,5.4,0.0
2020-02-22,0.0,6.2,0.0
2020-02-23,0.0,4.5,0.0
2020-02-24,0.0,2.9,0.0
2020-02-25,0.14,3.9,0.0
2020-02-26,0.0,7.2,0.0
2020-02-27,0.4,12.7,0.0
2020-02-28,0.0,9.8,0.0
2020-02-29,0.0,8.7,0.0
2020-03-01,0.0,6.1,0.0
2020-03-02,0.0,6.5,0.0
2020-03-03,0.26,6.1,0.0
2020-03-04,0.0,10.2,0.0
2020-03-05,0.0,5.4,0.0
2020-03-06,0.37,7.7,0.0
2020-03-07,0.0,7.6,0.0
2020-03-08,0.0,6.6,0.0
